YEAR,STATE,RATE
2014,NV,28.5
2014,NH,11.0
2014,NJ,13.1
2014,NM,37.8
2014,NY,16.1
2014,NC,25.9
2014,ND,23.9
2014,OH,25.1
2014,OK,38.5
2014,OR,20.0
2014,PA,19.3
2014,RI,15.8
2014,SC,28.5
2014,SD,26.2
2014,TN,33.0
2014,TX,37.8
2014,UT,19.4
2014,VT,14.2
2014,VA,18.4
2014,WA,19.1
2014,WV,36.6
2014,WI,18.0
2014,WY,30.1
2005,AL,49.7
2005,AK,37.3
2005,AZ,58.2
2005,AR,59.1
2005,CA,38.8
2005,CO,42.6
2005,CT,23.3
2005,DE,44.0
2005,FL,42.4
2005,GA,52.7
2005,HI,36.2
2005,ID,37.7
2005,IL,38.6
2005,IN,43.2
2005,IA,32.6
2005,KS,41.4
2005,KY,49.1
2005,LA,49.1
2005,ME,24.4
2005,MD,31.8
2005,MA,21.8
2005,MI,32.5
2005,MN,26.1
2005,MS,60.5
2005,MO,42.5
2005,MT,35.2
2005,NE,34.2
2005,NV,50.1
2005,NH,17.9
2005,NJ,23.4
2005,NM,61.6
2005,NY,26.5
2005,NC,48.5
2005,ND,29.7
2005,OH,38.9
2005,OK,54.2
2005,OR,33.0
2005,PA,30.4
2005,RI,31.4
2005,SC,51.0
2005,SD,37.5
2005,TN,54.9
2005,TX,61.6
2005,UT,33.4
2005,VT,18.6
2005,VA,34.4
2005,WA,31.1
2005,WV,43.4
2005,WI,30.3
2005,WY,43.2
