Latitude,Longitude,Population
32.94663924268507,-86.74585628227189,4392298
61.53929202453989,-151.31149417177897,739126
33.87650421545662,-111.5798341920375,9953669
35.07314552238799,-92.35712313432838,2665795
36.89718122448979,-120.19224523809524,59652083
39.18560959821429,-105.29131183035715,7734597
41.55938454545454,-72.69241181818181,4074019
39.13644805194804,-75.48771428571423,565804
28.138757628979107,-82.12087189901219,31031088
32.96086985413286,-83.57111912479728,11192163
20.900469127516786,-157.17823489932894,1826327
44.56648230088495,-114.6850809734513,1704042
40.33629236417035,-89.02857812041128,18104498
39.98211698670604,-86.28039571639582,6236667
42.0552384845464,-93.38532691924227,3193169
38.51521210762328,-97.33798714499241,2595209
37.773007806691446,-85.40234814126393,3307905
30.98160822784807,-91.83755379746835,4845764
44.1375487804878,-69.74428048780489,624328
39.093331960784354,-76.98258607843137,6840820
42.0858402877698,-71.17786330935257,9103538
43.476085631349754,-84.86419608127717,10403850
45.496535714285734,-94.28565546874982,7402427
32.89797811634351,-89.61043407202214,2093005
38.464815392156865,-92.44622019607841,7474758
47.08687694444442,-110.94557916666666,842286
41.21001493055556,-98.34825833333326,1910641
38.786795999999974,-117.3782016,4548072
43.49215,-71.50281315789475,813191
40.31284881889763,-74.51908622047247,5549930
34.69410282352942,-106.51020329411783,2118537
41.96168295454547,-74.82890750000006,36249123
35.440849249658896,-79.31589004092766,9441066
47.52731863979852,-99.64295037783376,735625
40.35379717138103,-82.80702695507482,13813630
35.552590027322395,-96.75078825136606,3727497
44.562228686327096,-122.02480991957115,5311863
40.61170181928449,-77.63910400242564,15443773
18.22025925925925,-66.39163209876541,1854657
41.66150625000001,-71.57234062500001,1650022
34.03092487309646,-81.1058373096447,4625071
44.28476701570679,-98.92596282722516,698307
35.82947353629975,-86.24952037470722,6172183
30.75290571768909,-97.77865771292429,33717239
39.878024534161476,-111.76328913043483,4969594
44.05184791666667,-72.56088333333334,244194
37.771425255972744,-78.3673529010239,8272237
47.34209950738913,-121.37109392446625,10455744
38.60530199501246,-80.84614763092266,1347403
44.149685510996115,-89.66109469598973,5981538
42.77949354838709,-107.70956075268813,490393
